TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
1	circle	8	staircase	-1	3	[6. 3. 1.]	1	1.0	0.0	0.29570312500000284	3.0	1.0
2	circle	8	staircase	-1	2	[   6.    6. -999.]	1	1.0	1.0	0.29570312500000284	3.0	1.0
3	circle	4	staircase	1	2	[0. 3. 1.]	1	1.0	2.0	0.29570312500000284	3.0	1.0
4	circle	4	[0.02, 0.1]	-1	3	[3. 2. 0.]	0	1.0	3.0	0.1	3.0	1.0
5	circle	4	staircase	-1	3	[0. 1. 0.]	0	1.0	4.0	0.29570312500000284	3.0	1.0
6	circle	8	staircase	1	2	[   2.    5. -999.]	1	1.0	5.0	0.595703125	3.0	1.0
7	circle	4	staircase	-1	2	[2. 0. 2.]	1	1.0	6.0	0.595703125	3.0	1.0
8	circle	8	[0.02, 0.1]	-1	3	[0. 7. 5.]	2	1.0	7.0	0.1	3.0	1.0
9	circle	8	[0.02, 0.1]	1	2	[-999.    5.    1.]	2	1.0	8.0	0.02	3.0	1.0
10	circle	4	staircase	1	2	[2. 0. 2.]	1	1.0	9.0	0.8957031249999972	3.0	1.0
11	circle	8	staircase	-1	3	[1. 2. 3.]	1	1.0	10.0	0.595703125	0.0	0.0
12	circle	4	[0.02, 0.1]	-1	2	[-999.    2.    1.]	1	1.0	11.0	0.02	3.0	1.0
13	circle	4	staircase	-1	2	[0. 3. 1.]	0	1.0	12.0	1.1957031249999943	0.0	0.0
14	circle	8	staircase	1	3	[-999. -999. -999.]	999	1.0	13.0	--	--	--
15	circle	8	staircase	1	2	[   6.    6. -999.]	999	0.0	--	--	--	--
16	circle	8	staircase	1	3	[6. 3. 1.]	999	0.0	--	--	--	--
17	circle	4	[0.02, 0.1]	1	2	[-999.    2.    1.]	999	0.0	--	--	--	--
18	circle	8	staircase	1	2	[-999. -999. -999.]	999	0.0	--	--	--	--
19	circle	4	staircase	-1	3	[-999. -999. -999.]	999	0.0	--	--	--	--
20	circle	4	staircase	-1	3	[-999. -999. -999.]	999	0.0	--	--	--	--
21	circle	4	staircase	1	3	[0. 1. 0.]	999	0.0	--	--	--	--
22	circle	8	staircase	1	3	[1. 2. 3.]	999	0.0	--	--	--	--
23	circle	4	staircase	1	2	[-999. -999. -999.]	999	0.0	--	--	--	--
24	circle	4	staircase	-1	2	[-999. -999. -999.]	999	0.0	--	--	--	--
25	circle	4	staircase	1	3	[-999. -999. -999.]	999	0.0	--	--	--	--
26	circle	8	[0.02, 0.1]	1	3	[0. 7. 5.]	999	0.0	--	--	--	--
27	circle	4	[0.02, 0.1]	1	3	[3. 2. 0.]	999	0.0	--	--	--	--
28	circle	8	[0.02, 0.1]	-1	2	[-999.    5.    1.]	999	0.0	--	--	--	--
29	circle	8	staircase	-1	2	[-999. -999. -999.]	999	0.0	--	--	--	--
30	circle	8	staircase	-1	2	[   2.    5. -999.]	999	0.0	--	--	--	--
31	circle	4	staircase	1	3	[-999. -999. -999.]	999	0.0	--	--	--	--
32	circle	8	staircase	-1	3	[-999. -999. -999.]	999	0.0	--	--	--	--
