TrialNumber	basicShape	numObjectsInRing	speed	initialDirRing0	numTargets	whichIsTargetEachRing	ringToQuery	ran	order	speedThisTrial	orderCorrect	correctForFeedback
14	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	13.0	0.595703125	3.0	1.0
15	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	14.0	0.02	3.0	1.0
16	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	15.0	0.29570312500000284	3.0	1.0
17	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	16.0	0.8957031249999972	3.0	1.0
18	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	17.0	0.595703125	0.0	0.0
19	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	18.0	0.8957031249999972	3.0	1.0
20	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	19.0	1.1957031249999943	0.0	0.0
21	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	20.0	0.29570312500000284	3.0	1.0
22	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	21.0	0.29570312500000284	3.0	1.0
23	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	22.0	0.8957031249999972	0.0	0.0
24	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	23.0	0.02	3.0	1.0
25	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	24.0	0.29570312500000284	3.0	1.0
26	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	25.0	0.4957031250000057	3.0	1.0
27	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	26.0	0.29570312500000284	3.0	1.0
28	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	27.0	0.595703125	3.0	1.0
29	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	28.0	1.1957031249999943	3.0	1.0
30	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	29.0	1.4957031249999915	3.0	1.0
31	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	30.0	0.4957031250000057	3.0	1.0
32	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	31.0	1.7957031249999886	3.0	1.0
33	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	32.0	0.4957031250000057	3.0	1.0
34	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	33.0	0.4957031250000057	0.0	0.0
35	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	34.0	1.7999999999999972	3.0	1.0
36	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	35.0	0.1	3.0	1.0
37	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	36.0	0.595703125	0.0	0.0
38	circle	4	[0.02, 0.1]	1	3	[0. 2. 3.]	1	1.0	37.0	0.1	3.0	1.0
39	circle	8	[0.02, 0.1]	1	2	[5. 7. 6.]	2	1.0	38.0	0.1	3.0	1.0
40	circle	4	staircase	-1	2	[2. 0. 1.]	2	1.0	39.0	1.7999999999999972	0.0	0.0
41	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	40.0	0.29570312500000284	3.0	1.0
42	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	41.0	0.4957031250000057	0.0	0.0
43	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	42.0	0.02	3.0	1.0
44	circle	8	staircase	1	2	[4. 4. 7.]	2	1.0	43.0	0.39570312500001137	3.0	1.0
45	circle	8	staircase	1	2	[0. 6. 1.]	0	1.0	44.0	0.39570312500001137	3.0	1.0
46	circle	4	staircase	-1	2	[3. 2. 2.]	1	1.0	45.0	1.5	0.0	0.0
47	circle	8	[0.02, 0.1]	-1	2	[5. 7. 6.]	2	1.0	46.0	0.02	3.0	1.0
48	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	47.0	0.1	3.0	1.0
49	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	48.0	0.1	3.0	1.0
50	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	49.0	0.39570312500001137	0.0	0.0
51	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	50.0	0.02	3.0	1.0
52	circle	4	staircase	-1	3	[3. 0. 1.]	0	1.0	51.0	0.29570312500000284	3.0	1.0
53	circle	4	staircase	-1	3	[2. 0. 3.]	2	1.0	52.0	0.29570312500000284	3.0	1.0
54	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	53.0	0.39570312500001137	3.0	1.0
55	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	54.0	1.2000000000000028	0.0	0.0
56	circle	4	staircase	1	2	[3. 2. 2.]	2	1.0	55.0	0.9000000000000057	3.0	1.0
57	circle	4	staircase	-1	3	[3. 1. 3.]	2	1.0	56.0	0.4957031250000057	3.0	1.0
58	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	57.0	0.29570312500001705	3.0	1.0
59	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	58.0	0.9000000000000057	3.0	1.0
60	circle	4	staircase	1	3	[2. 0. 3.]	1	1.0	59.0	0.4957031250000057	3.0	1.0
61	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	60.0	0.29570312500001705	3.0	1.0
62	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	61.0	0.29570312500001705	0.0	0.0
63	circle	8	staircase	-1	2	[4. 4. 7.]	2	1.0	62.0	0.4957031250000057	3.0	1.0
64	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	63.0	0.4957031250000057	3.0	1.0
65	circle	4	staircase	1	3	[3. 1. 3.]	2	1.0	64.0	0.4957031250000057	3.0	1.0
66	circle	8	staircase	-1	3	[7. 2. 0.]	1	1.0	65.0	0.19570312500002274	3.0	1.0
67	circle	4	staircase	1	2	[0. 3. 0.]	1	1.0	66.0	0.9000000000000057	3.0	1.0
68	circle	4	staircase	-1	2	[0. 3. 0.]	0	1.0	67.0	1.1000000000000085	3.0	1.0
69	circle	8	[0.02, 0.1]	1	3	[1. 6. 1.]	1	1.0	68.0	0.02	3.0	1.0
70	circle	4	staircase	1	2	[2. 0. 1.]	2	1.0	69.0	1.1000000000000085	0.0	0.0
71	circle	8	staircase	1	2	[3. 4. 7.]	1	1.0	70.0	0.4957031250000057	3.0	1.0
72	circle	4	[0.02, 0.1]	1	2	[3. 1. 2.]	2	1.0	71.0	0.02	3.0	1.0
73	circle	8	staircase	-1	3	[3. 3. 1.]	1	1.0	72.0	0.19570312500002274	3.0	1.0
74	circle	8	[0.02, 0.1]	-1	3	[1. 6. 1.]	1	1.0	73.0	0.02	3.0	1.0
75	circle	4	[0.02, 0.1]	-1	2	[3. 1. 2.]	2	1.0	74.0	0.02	3.0	1.0
76	circle	8	staircase	1	3	[3. 3. 1.]	0	1.0	75.0	0.19570312500002274	3.0	1.0
77	circle	4	[0.02, 0.1]	-1	3	[0. 2. 3.]	2	1.0	76.0	0.1	3.0	1.0
78	circle	8	staircase	-1	2	[3. 4. 7.]	2	1.0	77.0	0.595703125	3.0	1.0
79	circle	8	staircase	-1	3	[4. 5. 1.]	2	1.0	78.0	0.29570312500001705	3.0	1.0
80	circle	4	staircase	1	3	[3. 0. 1.]	1	1.0	79.0	0.6957031250000085	3.0	1.0
81	circle	8	staircase	1	3	[4. 5. 1.]	2	1.0	80.0	0.29570312500001705	0.0	0.0
82	circle	8	staircase	1	3	[7. 2. 0.]	2	1.0	81.0	0.2457031250000199	0.0	0.0
83	circle	8	staircase	-1	2	[0. 6. 1.]	0	1.0	82.0	0.595703125	3.0	1.0
